coverageDirectEffect,coverageMediatorEffect,coverageMainEffect,coverageIndirectEffect,coverageMediatedProportion,aboveIndirectEffect,belowIndirectEffect,biasDirectEffect,biasMediatorEffect,biasMainEffect,biasIndirectEffect,biasMediatedProportion,mseDirectEffect,msesMediatorEffect,mseMainEffect,mseIndirectEffect,mseMediatedProportion,indirectType1Error,indirectType2Error,nonEstimableFraction,ps,mrs,psAdjustment,mrsAdjustment,mediatorType,sampleSize,sampling,bootstrapType,dropUninformativeStrata,n,nX,hCensor,aIntercept,confoundingAySd,confoundingmYSd,confoundingAymSd,mIntercept,mA,yIntercept,yA,yM
0.9637462235649547,0.973816717019134,0.9536757301107754,1,0.9869083585095669,0,0,0.3404733242739225,0.13587314355641641,0.24964655347068493,-0.09082677080323752,28271997149.265858,1.8633749895489986,0.3973331318863586,0.440950353632458,1.1654869693007455,793710680407433e9,NA,1,0.007,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.954,0.962,0.941,0.986,0.992,0.014,0,0.02536840022221714,-0.043524392742969195,0.05786719490869941,0.032498794686482375,-0.011828557519123135,0.027204600920407353,0.026834195101145944,0.028163872751444056,0.0028864582589696033,0.011858643276804678,NA,0.899,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.9567010309278351,0.9661016949152542,0.9567010309278351,0.9412371134020618,0.9360824742268041,0.05463917525773196,0.004123711340206186,2.2436620670405794,1.9931341913380378,2.024218262940746,-0.21944380409983325,-549295.5084286302,45.361118142602315,55.933354466732915,56.07578840152733,20.340140366480373,1375128954628058.3,NA,0.965979381443299,0.03,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,1,1,1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.9266331658291457,0.9544534412955465,0.9276381909547738,0.949748743718593,0.964824120603015,0.05025125628140704,0,0.06310344719012999,0.045272624740537254,0.06826698264638334,0.0052107832272847154,-0.05356167135349326,1.7525162920507371,1.7396012290234109,1.7484201635700563,7.0607533724847e-4,2.7707094814086486,NA,0.9155778894472362,0.005,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,1,1,1,-4.605170185988091,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.9613778705636743,0.9728601252609603,0.9613778705636743,0.9843423799582464,0.9519832985386222,0.014613778705636743,0.0010438413361169101,2.581457782469852,2.3349494352454925,2.4273847704029414,-0.15407301206691007,37313180113795667e26,78.36939780450557,48.35465036146881,48.81557979533911,12.077522605977197,13337979269759651e72,NA,0.9154488517745303,0.042,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,1,1,1,-2.3025850929940455,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.9409409409409409,0.958958958958959,0.943943943943944,0.96996996996997,0.9819819819819819,0.02902902902902903,0.001001001001001001,0.14075249596430703,0.07140513363588294,0.15303813140372965,0.012330673144792553,0.11311593638776003,2.8925400969663215,2.860551781187209,2.8846867664840676,0.003681129204029248,1.5453117501634845,NA,0.6676676676676677,0.001,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,1,1,1,-2.3025850929940455,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.9596864501679732,0.9659090909090909,0.9608062709966405,0.8488241881298992,0.8275475923852184,0.1511758118701008,0,1.891545740040573,1.8303931142863883,1.861008040173356,-0.030537699867217057,13554.865321237237,539.2306466207806,537.100991134818,537.176883825099,0.5661655251121569,110579342833.8051,NA,0.9944008958566629,0.107,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.9305135951661632,0.9670103092783505,0.9355488418932527,0.9093655589123867,0.918429003021148,0.09063444108761329,0,-0.005195680300546536,-0.021533076653506667,0.0014177373473012328,0.006652081001376059,-0.024116474265385924,0.07266972020020629,0.07025622534680678,0.07034989773397306,0.0013524747623838913,0.6338069139642158,NA,0.9798590130916415,0.007,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-4.605170185988091,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.9574970484061394,0.9631391200951248,0.9586776859504132,0.987012987012987,0.9763872491145218,0.011806375442739079,0.0011806375442739079,1.1399957848513407,0.7889660572344802,0.8808707866568939,-0.2591249981944466,19252308746726856e35,59.10077221473348,29.8275788375792,29.98840982539396,29.488262286902426,3139417290911632e90,NA,0.9574970484061394,0.153,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-2.3025850929940455,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.9397590361445783,0.9437751004016064,0.9367469879518072,0.9678714859437751,0.9859437751004017,0.03112449799196787,0.001004016064257028,0.019807994228853106,-0.05196095603601388,0.029717437757496742,0.00995021224511882,0.03404645119903546,0.45752681285045727,0.42476384882825713,0.4238441897931941,0.005416217899197982,0.12698398999431398,NA,0.7771084337349398,0.004,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,1,1,1,-2.3025850929940455,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.9617755856966708,0.974025974025974,0.9580764488286067,0.7940813810110974,0.7706535141800247,0.2059186189889026,0,0.9073378513834768,0.8724614728113989,0.9030631944712864,-0.004274656912190313,-0.0030354989789696534,58.751766592937365,58.58858551986479,58.63482274274406,0.04041363194585388,5.224424448270049,NA,0.9963008631319359,0.189,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,1,1,1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.9403437815975733,0.9732047159699893,0.9403437815975733,0.8614762386248737,0.8695652173913043,0.1385237613751264,0,0.008666206735442404,-0.012287351026774529,0.010570790149837367,0.0019485791629210607,0.02059494222554615,0.08388658081746424,0.073597458358053,0.0742169307445773,0.006793090154209901,0.1800909749791764,NA,0.9848331648129424,0.011,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,1,1,1,-4.605170185988091,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.9606815203145478,0.9617414248021108,0.9619921363040629,0.9842726081258192,0.9750982961992136,0.01310615989515072,0.002621231979030144,0.9900162877603339,0.16352086380735117,0.25561398363285154,-0.7344023041274823,4626432110686283e121,165.2471811318146,70.55793597160817,70.59433844143604,162.76556097344914,1633115591906411e261,NA,0.9685452162516383,0.237,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,1,1,1,-2.3025850929940455,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,-0.6931471805599453
0.9404040404040404,0.9555106167846309,0.9414141414141414,0.9777777777777777,0.9858585858585859,0.022222222222222223,0,0.02258834956883929,-0.04813850843404942,0.0334067983391572,0.01208129050697273,0.2575784242936013,0.5182912506101041,0.45301043672554125,0.45270306226009477,0.04464368202357988,29.053727748167518,NA,0.8656565656565657,0.01,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,1,1,1,-2.3025850929940455,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,-0.6931471805599453
0.965,0.964,0.962,0.998,0.991,0.001,0.001,0.523890543453974,0.5184950975643867,0.5184950975643866,-0.005395445889587304,0.06060990227623214,8.282749421337298,8.245621813988672,8.24562181398867,0.0019779016979342345,28.414835571582454,0.002,NA,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,0
0.951,0.948,0.952,0.991,0.993,0.001,0.008,0.015202771870111141,0.014255078201595009,0.014255078201594898,-9.476936685161334e-4,0.0018936812641849377,0.050451918888631216,0.0501482786377196,0.0501482786377196,1.0034709251224792e-4,4.816726337996889e-4,0.009,NA,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0
0.964,0.952,0.965,0.999,0.988,0,0.001,0.612468011873889,0.6123553500550886,0.6123553500550883,-1.1266181880044744e-4,-0.050598144496540855,9.525661822096888,9.533803191052899,9.533803191052897,0.0034269660488335622,1.1546261396377,0.001,NA,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,0
0.949,0.941,0.947,0.979,0.982,0.004,0.017,0.011000665191284743,0.009746128333576324,0.009746128333576215,-0.0012545368577084192,0.003882032804585561,0.04956594894581624,0.04933759754875091,0.04933759754875091,3.9973308176862024e-4,0.0021498148234387992,0.021,NA,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-2.3025850929940455,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0
0.944,0.993963782696177,0.947,1,0.998,0.022,0.017,0.11168118508311119,0.1035074826944154,0.10350748269441529,-0.008173702388695796,-0.02802096138077625,0.25162911312139213,0.23677012045807988,0.23677012045807985,0.004941374808909323,3.1244274328885404,0,NA,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,0
0.941,0.957,0.939,0.999,0.999,0,0.001,0.01712732100353059,0.015028400356347808,0.015028400356347697,-0.002098920647182783,0.004331221826022468,0.02362164436478633,0.023313496149211063,0.02331349614921106,1.3098564152662243e-4,5.675808582383371e-4,0.001,NA,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0
0.948,0.942,0.949,1,0.997,0,0,0.11819921475460923,0.1046277830797155,0.10462778307971539,-0.013571431674893731,0.09124967142145367,0.23842394459417363,0.2131909434260913,0.21319094342609127,0.012019097502868477,2.515566575943918,0,NA,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,0
0.952,0.943,0.955,0.996,0.996,0.002,0.002,0.016285750054897363,0.0138463285340121,0.01384632853401199,-0.0024394215208852635,0.0049860127746015,0.023925019920323032,0.022837845964645716,0.022837845964645713,6.09436571254699e-4,0.0025430825530403794,0.004,NA,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,-0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0
0.9418837675350702,0.9946695095948828,0.9468937875751503,1,0.9979959919839679,0.09719438877755511,0.06913827655310621,0.20366889410492267,0.1811269975832931,0.181126997583293,-0.022541896521629554,0.07137258670503409,0.3764988943769101,0.33757281027872615,0.3375728102787261,0.01677054511629177,3.3320912368494238,0,NA,0.002,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.10536051565782628,0.1,0.1,0.1,-4.605170185988091,-0.6931471805599453,-4.605170185988091,-0.6931471805599453,0
