coverageDirectEffect,coverageMediatorEffect,coverageMainEffect,coverageIndirectEffect,coverageMediatedProportion,aboveIndirectEffect,belowIndirectEffect,biasDirectEffect,biasMediatorEffect,biasMainEffect,biasIndirectEffect,biasMediatedProportion,mseDirectEffect,msesMediatorEffect,mseMainEffect,mseIndirectEffect,mseMediatedProportion,indirectType1Error,indirectType2Error,nonEstimableFraction,ps,mrs,psAdjustment,mrsAdjustment,mediatorType,sampleSize,sampling,bootstrapType,dropUninformativeStrata,n,nX,hCensor,aIntercept,confoundingAySd,confoundingmYSd,confoundingAymSd,mIntercept,mA,yIntercept,yA,yM
0.951,0.958,0.951,0.912,0.926,0.087,0.001,0.014427041486585494,-0.014558319353268616,0.03207420216189738,0.017647160675311992,-0.00912509085645212,0.022929825793826214,0.02231731847982929,0.023112421866051634,0.0010135812233790077,0.0036404802774955836,NA,0.875,0,fit,fit,matching,model,time-to-event,1000,strata,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.951,0.958,0.951,0.711,0.825,0.289,0,0.014427041486585494,-0.014558319353268616,0.03207420216189738,0.017647160675311992,-0.00912509085645212,0.022929825793826214,0.02231731847982929,0.023112421866051634,0.0010135812233790077,0.0036404802774955836,NA,0.999,0,fit,fit,matching,model,time-to-event,1000,strata,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.951,0.958,0.951,0.97,0.99,0.029,0.001,0.014430223324061554,-0.014549884188911478,0.03208263732625452,0.017652414002193067,-0.009141945955707768,0.02292280393521843,0.02230872777930274,0.023104821617761655,0.001014125137465579,0.00363978216484121,NA,0.97,0,fit,fit,matching,model,time-to-event,1000,person,percentile,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.951,0.958,0.951,0.949,0.977,0.05,0.001,0.014430223324061554,-0.014549884188911478,0.03208263732625452,0.017652414002193067,-0.009141945955707768,0.02292280393521843,0.02230872777930274,0.023104821617761655,0.001014125137465579,0.00363978216484121,NA,0.96,0,fit,fit,matching,model,time-to-event,1000,person,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.951,0.958,0.951,0.935,0.953,0.064,0.001,0.014430223324061554,-0.014549884188911478,0.03208263732625452,0.017652414002193067,-0.009141945955707768,0.02292280393521843,0.02230872777930274,0.023104821617761655,0.001014125137465579,0.00363978216484121,NA,0.951,0,fit,fit,matching,model,time-to-event,1000,person,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.951,0.958,0.951,0.84,0.931,0.16,0,0.014430223324061554,-0.014549884188911478,0.03208263732625452,0.017652414002193067,-0.009141945955707768,0.02292280393521843,0.02230872777930274,0.023104821617761655,0.001014125137465579,0.00363978216484121,NA,1,0,fit,fit,matching,model,time-to-event,1000,person,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-4.605170185988091,0.6931471805599453,-2.3025850929940455,-0.6931471805599453,0.6931471805599453
0.948,0.951,0.946,0.965,0.987,0.004,0.031,0.0973875742856589,-0.053317490767503674,0.056366994178784845,-0.041020580106873955,-2.572928336817629,0.16666513327044988,0.1342741559323,0.13459605456692314,0.020221175939557523,7232.658046175382,NA,0.788,0,fit,fit,matching,model,time-to-event,1000,strata,percentile,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.948,0.951,0.946,0.98,0.983,0.007,0.013,0.0973875742856589,-0.053317490767503674,0.056366994178784845,-0.041020580106873955,-2.572928336817629,0.16666513327044988,0.1342741559323,0.13459605456692314,0.020221175939557523,7232.658046175382,NA,0.849,0,fit,fit,matching,model,time-to-event,1000,strata,reduced bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.948,0.951,0.946,0.975,0.94,0.017,0.008,0.0973875742856589,-0.053317490767503674,0.056366994178784845,-0.041020580106873955,-2.572928336817629,0.16666513327044988,0.1342741559323,0.13459605456692314,0.020221175939557523,7232.658046175382,NA,0.899,0,fit,fit,matching,model,time-to-event,1000,strata,bias-corrected,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
0.948,0.951,0.946,0.976,0.969,0.024,0,0.0973875742856589,-0.053317490767503674,0.056366994178784845,-0.041020580106873955,-2.572928336817629,0.16666513327044988,0.1342741559323,0.13459605456692314,0.020221175939557523,7232.658046175382,NA,1,0,fit,fit,matching,model,time-to-event,1000,strata,pivoted,TRUE,1000,8,0.1,-0.6931471805599453,0.1,0.1,0.1,-2.3025850929940455,0.6931471805599453,-4.605170185988091,-0.6931471805599453,0.6931471805599453
