sampling,bootstrapType,mseCoverageIndirectEffect,mseCoverageMediatedProportion
person,bias-corrected,0.0012658635847316564,0.0011402490727664564
person,percentile,0.0010967021156038867,0.0013947856611546275
person,pivoted,0.002822340974719968,8.74612614787238e-4
person,reduced bias-corrected,0.0012290223673439315,0.0010201525727584603
strata,bias-corrected,0.0012942500069740963,0.0015181185004666665
strata,percentile,0.0011644339776100978,0.0011346743781940564
strata,pivoted,0.010756339458161422,0.002642609926427422
strata,reduced bias-corrected,0.001146989406648839,9.089779656672255e-4
